Part No.,Description,Order,Cost ,Price ,Model,Inventory Turnover,Sales 2024,Sales 2023,Inventory,Category,Annual Target
20817742,Oil filter base gasket,5,67.45,5500,FH12,Fast-moving,0,4,1,Engine,10
20524936,Sensor,5,366.13,23000,FH12,Fast-moving,1,6,2,Body,10
21663559,sensor; left,5,357.42,440,FH4,Fast-moving,1,5,1,Gearbox,10
84013223,headlamp protector; right,6,284.82,350,FH4,Fast-moving,13,17,2,Body,11
82491903,Front grille,6,1560.07,1919,FH4,Fast-moving,13,19,4,Body,11
82141524,wheel arch liner; right,6,1062.07,1306,FH4,Fast-moving,3,6,0,Body,11
20390840,Front tray rubber gasket,6,759.86,22000,FH13,Fast-moving,0,4,0,Body,11
21148850,Front grille,6,293.89,17000,FH13,Fast-moving,0,4,0,Body,11
20806212,Clutch master cylinder,3,178.25,11000,FH12,Medium-moving,0,5,1,Gearbox,11
21067551,Brake disc,6,860,45000,FH12,Fast-moving,0,4,0,Engine,11
21228153,Engine mounting,6,1047.53,28000,FH13,Fast-moving,0,6,2,Engine,11
21347087,Valve,6,193.16,15000,FH13,Fast-moving,0,4,0,Engine,11
21615194,Exhaust kit,7,2216.34,2726,FH4,Fast-moving,0,1,3,Gearbox,12
1676400,EXPANSION TANK,5,289.05,22000,FH12,Medium-moving,0,2,2,Body,12
20851382,GLOVE COMPARTMENT,5,594.26,40000,FH12,Fast-moving,0,0,0,Body,12
21141850,Exhaust tank clamp,5,61.1,4700,FH12,Dead stock,0,0,0,Gearbox,12
20826211,Lamp,7,163.19,6000,FH12,Fast-moving,0,5,0,Body,13
3175928,Door (???) ,7,998.21,60000,FH12,Fast-moving,0,5,0,Body,13
82214184,Door frame,7,12906.98,15876,FH4,Fast-moving,0,5,0,Body,13
21247154,Sensor ,7,269.26,16000,FH12,Fast-moving,0,7,2,Gearbox,13
22431887,Crankshaft rear oil seal,5,8473.16,650000,FH13-440,Fast-moving,0,1,0,Engine,13
82056091,Door,7,274.38,17000,FH13,Fast-moving,0,6,0,Body,14
21478755,Lamp,7,437.48,25000,FH13-480,Fast-moving,0,6,0,Body,14
20529638,FOOT STEP,7,372.07,25000,FH12,Dead stock,0,0,0,Body,14
1673701,Differential oil seal,8,273.62,16000,FH12,Fast-moving,0,9,2,Gearbox,15
84139933,panel; right,4,248.25,305,FH4,Medium-moving,1,11,3,Body,15
82110404,wheel arch liner; left,8,1062.07,1306,FH4,Fast-moving,1,8,0,Body,15
20456709,Outer sun visor,4,988.42,50000,FH12,Medium-moving,0,9,1,Body,16
20562642,Sensor ,8,337.23,17000,FH12,Fast-moving,0,8,0,Gearbox,16
84139886,panel; left,8,248.25,305,FH4,Fast-moving,2,11,1,Body,16
